_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
12.30811653,-24.13667172,3834,00 49 13.90,-24 08 11.5,5.9,12.3079102,-24.13652681,17.7,77.47,-59.62,0.99,0.944, ,12.30811653,-24.13667172
12.35673214,-13.56127432,3849,00 49 25.55,-13 33 39.7,5.59,12.35647376,-13.56101709,10.02,103.34,-105.83,0.86,1.325, ,12.35673214,-13.56127432
12.45353036,41.07891087,3881,00 49 48.83,+41 04 44.2,4.53,12.45345723,41.07895474,4.8,22.68,-18.05,0.75,-0.136, ,12.45353036,41.07891087
12.47152416,27.71028626,3885,00 49 53.11,+27 42 37.1,5.55,12.47128657,27.71031105,9.4,86.54,-10.2,0.88,0.398, ,12.47152416,27.71028626
12.53162924,-10.64432569,3909,00 50 07.72,-10 38 37.6,5.17,12.53218487,-10.64377045,64.69,-224.67,-228.44,1.03,0.514, ,12.53162924,-10.64432569
12.6716101,-50.98681565,3949,00 50 41.13,-50 59 12.9,5.24,12.67136689,-50.98692422,13.06,62.99,44.67,0.59,0.356,P,12.6716101,-50.98681565
12.68171635,64.24754961,3951,00 50 43.57,+64 14 51.3,5.35,12.68155194,64.24758084,4.01,29.39,-12.85,0.58,0.528, ,12.68171635,64.24754961
13.16926991,-24.00584405,4104,00 52 40.60,-24 00 21.3,5.47,13.16917061,-24.00592567,6.52,37.32,33.58,0.91,1.275, ,13.16926991,-24.00584405
13.2520596,-1.144260194,4147,00 53 00.49,-01 08 39.2,4.78,13.25204382,-1.1442206,6.28,6.49,-16.29,0.85,1.55, ,13.2520596,-1.14426019
13.267486,61.12396986,4151,00 53 04.28,+61 07 24.8,4.8,13.26783051,61.12355735,53.85,-68.45,169.72,0.6,0.54, ,13.267486,61.12396986
13.40780824,-62.87135169,4200,00 53 37.78,-62 52 16.9,5.73,13.40741156,-62.87135327,5.32,74.42,0.65,0.56,1.574, ,13.40780824,-62.87135169
13.64677843,19.18841742,4267,00 54 35.22,+19 11 18.4,5.8,13.64674999,19.18843611,8.88,11.05,-7.69,1.01,-0.016, ,13.64677843,19.18841742
